Total Citations per Year,Keyword_SEI,Keyword_cathode,Keyword_anode,Keyword_Efficiency,Keyword_electrode,Ci_5IPub,EV_Sales
3819.0,787.0,183.0,635.0,0.0,1230.0,3564.0,17
11862.0,1641.0,870.0,1832.0,0.0,2161.0,11036.0,9350
12632.0,3726.0,469.0,2120.0,49.0,3380.0,11735.0,20282
18320.0,1612.0,309.0,10557.0,49.0,10308.0,17070.0,36042
25058.0,7802.0,5194.0,6234.0,225.0,5795.0,22078.0,47566
23792.0,6552.0,3572.0,4739.0,232.0,7108.0,21639.0,84233
24569.0,10066.0,2250.0,6302.0,270.0,4616.0,23795.0,205876
27065.0,11204.0,4260.0,7046.0,871.0,8598.0,25157.0,251864
31693.0,8870.0,3508.0,5533.0,871.0,5693.0,29734.0,351071
42911.0,13445.0,5101.0,8163.0,1118.0,11643.0,36222.0,315763
37763.0,9248.0,4951.0,9283.0,1874.0,11843.0,34395.0,290273
55467.0,18696.0,7281.0,23874.0,2620.0,13625.0,47382.0,274648
22914.0,8891.0,2912.0,7347.0,3283.0,4507.0,19595.0,284264
36535.0,7978.0,2688.0,13253.0,3439.0,7465.0,32623.0,487819
36645.0,11396.0,6110.0,12133.0,5436.0,6554.0,30934.0,592637
48879.0,17777.0,4432.0,22359.0,8575.0,15371.0,42813.0,571054
46804.0,13182.0,3738.0,12598.0,11354.0,7112.0,42468.0,498423
41621.0,15891.0,6025.0,19490.0,11770.0,7361.0,38574.0,506565
28485.0,12775.0,1322.0,8078.0,13572.0,6705.0,25135.0,558449
26364.0,10504.0,2344.0,10425.0,14368.0,4009.0,24045.0,704534
22815.0,10945.0,998.0,11915.0,16206.0,4021.0,19013.0,727390
